Title;Course Code;Course Title;Date;Time;Maximum Marks;
Birla Vishwakarma Mahavidiyalaya;2CP03;Digital and Logic design;08-07-2021;10:00 to 13:30;NULL;
;;;;;;
Instructions;;;;;;
Exam will be conducted by ‘Online’ Mode through MS Teams only.;Each section must be attempted in a separate answer books. The format of answer page is  available on website ‘notice board’.;Write ID No., Name, Course Code, Course Title, Date of Exam, Signature and Page Nos. on each answer page in the ‘title block’ provided in format. ;Students have to upload answer sheet through “pdf file” for both the sections separately in MS Teams within the stipulated time. Students will get additional 20 minutes to upload answer sheet pdf file for each section. Refer the detailed instructions on website ‘notice board’. ;Give the name to each pdf file as: “ID No.\_Course Code\_Section No.\_Date” (For example, 12AB001\_3CD01\_Section\_1\_03.12.20) ;Numbers in the square brackets to the right indicate maximum marks. ;The text just below marks indicates the CO(s) followed by the Bloom’s level of the question, i.e., R: Remember, U: Understand, A: Apply, N: Analyze, E: Evaluate, C: Create 
;;;;;;
Section - I;;;;;;
;;;;;;
Question no.;Marks ;Question;;;;
1;NULL;NULL;;;;
1.1;10;Attempt the following.(//Bold("Any Five")//);;;;
1.1.1;NULL;Determien the value of base x if $ //SubScript("(211)","x")//=//SubScript("(152)","8")// $ //NewLine()//Convert $ //SubScript("(2110201102220112)","3")// $ to base 9.;;;;
1.1.2;NULL;The state of a 12-bit register is 100010010111. What is its content if it represents (i) Three decimal digits in the excess-3 code? (ii) A binary number?;;;;
1.1.3;NULL;From the following equation, find the radix r. //NewLine()// $[//SubScript("(35)","r")//+//SubScript("(24)","r")//] x //SubScript("(21)","r")//=//SubScript("(1501)","r")//$;;;;
1.1.4;NULL;Find the value of the Binary Variables A,B,C \& D by solving following simultaneous equations given below.//NewLine()//$A'+ AB = 0$//NewLine()//$ AC=AB $//NewLine()//$ AD + D' + BD =AC + B'D$;;;;
1.1.5;NULL;Represent the following pair of decimal numbers into signed 2's complement representation and add them. (i) 33 and 15 (ii) -110 and -84;;;;
1.1.6;NULL;State the algorithm to add two BCD numbers. Represnet the unsigned decimal numbers 791 and 658 in BCD,and then show the steps necessary to form their sum.;;;;
1.1;NULL;Find the complement of the following function://NewLine()//$(x + y' +z)(x'+ z')(x + y)$;;;;
2;NULL;NULL;;;;
2.1;04;An 8x1 multiplexer has inputs A,B and C connected to the selection inputs S2,S1 and S0 respectively. The data inputs, I0 through I7, are connected as follows:I1=I2=I5=0,I3=I7=1,I4=I0=D and I6=D'.Determine the Boolean Function that the multiplexer implements;;;;
2.1;NULL;***OR OR OR***;;;;
2.1;04;Implement the following function F with the following two-level forms: NANAD-AND,AND-NOR,OR-NAND,NOR-OR//NewLine()//$ F(A,B,C,D)=//Sum("(0,1,2,3,4,8,9,12)")// $;;;;
2.2;06;Design a combinational logic circuit for the following system. The system is a speed-warning device. It receives, on two lines, an indication of the speed limit of the three tracks on Express Highway. There are 3 possible values: 100 kmph, 110 kmph \& 120 kmph. It receives from the automobile, on other two lines, an indication of the speed of the vehicle. There are 4 possible values: under 100 kmph, between 101 kmph \& 110 kmph, between 111 kmph \& 120 kmph and over 120 kmph. It produces two outputs. The first, F, indicates whether the car is going above the speed limit. The second, G, indicates that the car is driven at a “Dangerous speed”. The “Dangerous speed” is defined as either speed is over 120 kmph or more than 10 kmph above the speed limit of the track. (kmph stands for Kilometer Per Hour.);;;;
3;NULL;NULL;;;;
3.1;03;Construct 5x32 decoder using only 3x8 decoders.;;;;
3.2;04;Find all the prime implicants for the following Boolean functions, and determine which are essential://NewLine()//(a) $ F(w,x,y,z) = //Sum("(0,2,4,5,6,7,8,10,13,15)")//$ //NewLine()//$ F(A,B,C,D)=//Sum("(0,2,3,5,7,8,10,11,14,15)")// $;;;;
3.2;NULL;***OR OR OR***;;;;
3.2;04;Simplify the following Boolean function F, together with the don’t care conditions d, and them expresst he simplified function in sum-of-mintermns form:;;;;
3.2.1;NULL;$ F(x,y,z) = //Sum("(0,1,4,5,6)")//$ and $ d(x,y,z) = //Sum("(2,3,7)")// $;;;;
3.2.2;NULL;$ F(A,B,C,D) = //Sum("(0,6,8,13,14)")//$ and $ d(x,y,z) = //Sum("(2,4,10)")// $;;;;
3.3;03;Simplify the following function by means of the tabulation method://NewLine()//$F(A,B,C,D) = //Sum("(3,4,13,15)")// $;;;;
4;04;Can add a Image like this//InsertImage("equation.png",caption="This is the test image")//;;;;
5;04;The McQ Formats available are \\ //Options(["one","two","three","four"])//Or()//Options(["one","two","three","four"],Vertical=True)//;;;;
6;NULL;Shapes Mcq Formats are\\//Options(["one","two","three","four"],Shapes=True)//Or()//Options(["one","two","three","four"],Shapes=True,optionview="Box")//;;;;
7;03;Can Create a Solution line with default lines or empty box or dotted line or grid or a small line for the mcq on the right hand side all with custom height//SolArea()//SolArea("Box")//SolArea("Dotted")//SolArea("Grid")//SolArea("Mcq")//SolArea(height=3);;;;
;;//GradTable()//;;;;
;;***END***;;;;
